IDX,Voltage,Target Wl
139,2.49146262,1627.6563746625
140,2.09258352,1627.6575
141,1.87605237,1627.6586248875
142,1.74740025,1627.6597497750001
143,1.67819293,1627.6608746625
144,1.68715588,1627.662
145,1.77232434,1627.6631248875
146,1.9461752,1627.6642497750001
147,2.24342181,1627.6653746625
148,2.71277204,1627.6665
149,2.69528653,1627.6676248875
150,2.64978488,1627.6687497750002
151,2.57622161,1627.6698746625
152,2.40181069,1627.671
153,2.98576607,1627.6721248875
154,3.69408056,1627.6732497750002
155,4.37163837,1627.6743746625
156,5.16002958,1627.6755
157,5.37480555,1627.6766248875
158,5.3886348,1627.6777497750002
159,5.35160233,1627.6788746625
160,4.99853188,1627.68
161,4.1959614,1627.6811248875001
162,3.40336663,1627.6822497750002
163,2.74422415,1627.6833746625
164,2.31219962,1627.6845
165,2.00721265,1627.6856248875001
166,1.77946448,1627.6867497750002
167,1.68243687,1627.6878746625
168,1.67961855,1627.689
169,1.75674118,1627.6901248875001
170,1.89536501,1627.6912497750002
171,2.24895502,1627.6923746625
172,2.76162485,1627.6935
173,3.39684226,1627.6946248875001
174,3.93770289,1627.6957497750002
175,4.74438458,1627.6968746625
176,5.29425499,1627.698
177,5.38478419,1627.6991248875001
178,5.01825006,1627.7002497750002
179,4.19621524,1627.7013746625
180,3.49363921,1627.7025
181,2.71028614,1627.7036248875002
182,2.21486169,1627.7047497750002
183,1.87147064,1627.7058746625
184,1.72605314,1627.707
185,1.74597873,1627.7081248875002
186,1.77065204,1627.7092497750002
187,1.83357954,1627.7103746625
188,1.88564971,1627.7115
189,1.7376326,1627.7126248875
190,1.66913745,1627.713749775
191,1.67343515,1627.7148746624998
192,1.76457007,1627.716
193,1.86203575,1627.7171248875
194,2.01062343,1627.718249775
195,2.13991197,1627.7193746624998
196,2.36614977,1627.7205
197,2.91787563,1627.7216248875
198,3.6698904,1627.722749775
199,4.5582144,1627.7238746624998
200,5.22900054,1627.725
201,5.37742546,1627.7261248875
202,5.14064757,1627.727249775
203,4.60025554,1627.7283746624998
204,3.72158216,1627.7295
205,3.06719829,1627.7306248875
206,2.49838327,1627.731749775
207,2.09771508,1627.7328746624999
